date,UK_CPI_lag1,UK_CPI_lag3,UK_CPI_lag6,UK_CPI_lag12,UK_POLICY_RATE_lag1,UK_POLICY_RATE_lag3,UK_POLICY_RATE_lag6,UK_POLICY_RATE_lag12,UK_UNEMPLOYMENT_lag1,UK_UNEMPLOYMENT_lag3,UK_UNEMPLOYMENT_lag6,UK_UNEMPLOYMENT_lag12,UK_GDP_lag1,UK_GDP_lag3,UK_GDP_lag6,UK_GDP_lag12,UK_M2_lag1,UK_M2_lag3,UK_M2_lag6,UK_M2_lag12
2009-03-01,0.6904515346544485,-0.2293578987099401,0.45819095051117653,0.35398267051242077,-0.4287000000000001,-1.1321,-0.10449999999999982,-0.024399999999999977,0.39999999999999947,0.09999999999999964,0.09999999999999964,0.09999999999999964,-6.099307,-5.413668,-2.917741,2.127783,-1.2511770000000002,0.6554910000000014,-0.16550900000000013,-0.05592100000000144
2009-04-01,0.11461319306225416,-0.5757068290067638,-0.22883305180122737,0.8211189830394624,-0.3749,-0.3265,-0.48099999999999987,-0.22780000000000022,0.20000000000000018,0.20000000000000018,0.20000000000000018,-0.09999999999999964,-6.021478,-6.176857,-3.881582,1.627847,-1.389106,-1.0020060000000015,2.055506000000001,-0.24019199999999863
2009-05-01,0.2288330518012216,0.6904515346544485,0.0,0.5824128285988713,-0.11249999999999999,-0.4287000000000001,-1.6269,-0.04860000000000042,0.2999999999999998,0.39999999999999947,0.20000000000000018,0.20000000000000018,-5.94337,-6.099307,-4.648579,0.755211,-1.9143640000000008,-1.2511770000000002,3.3027239999999995,-1.4073770000000003
2009-06-01,0.45610113275626674,0.11461319306225416,-0.2293578987099401,0.5790404134704308,0.003400000000000014,-0.3749,-1.1321,0.001200000000000756,0.20000000000000018,0.20000000000000018,0.09999999999999964,0.09999999999999964,-5.386714,-6.021478,-5.413668,-0.111976,-1.4075929999999985,-1.389106,0.6554910000000014,-1.1852289999999996
2009-07-01,0.22727282510023972,0.2288330518012216,-0.5757068290067638,0.0,0.0025000000000000022,-0.11249999999999999,-0.3265,-0.022700000000000387,0.10000000000000053,0.2999999999999998,0.20000000000000018,0.20000000000000018,-4.823897,-5.94337,-6.176857,-0.973767,-0.927365,-1.9143640000000008,-1.0020060000000015,-0.9370630000000002
2009-08-01,-0.11357184639272686,0.45610113275626674,0.6904515346544485,0.5757068290067724,0.0015000000000000013,0.003400000000000014,-0.4287000000000001,-0.012900000000000134,0.0,0.20000000000000018,0.39999999999999947,0.20000000000000018,-4.254819,-5.386714,-6.099307,-1.948485,-0.15833200000000147,-1.4075929999999985,-1.2511770000000002,-0.22327300000000072
2009-09-01,0.3403293131707865,0.22727282510023972,0.11461319306225416,0.45819095051117653,0.004699999999999982,0.0025000000000000022,-0.3749,-0.10449999999999982,-0.10000000000000053,0.10000000000000053,0.20000000000000018,0.09999999999999964,-3.467549,-4.823897,-6.021478,-2.917741,0.04085400000000128,-0.927365,-1.389106,-0.16550900000000013
2009-10-01,0.0,-0.11357184639272686,0.2288330518012216,-0.22883305180122737,0.00820000000000004,0.0015000000000000013,-0.11249999999999999,-0.48099999999999987,0.10000000000000053,0.0,0.2999999999999998,0.20000000000000018,-2.669014,-4.254819,-5.94337,-3.881582,0.49048799999999915,-0.15833200000000147,-1.9143640000000008,2.055506000000001
2009-11-01,0.11318620336835526,0.3403293131707865,0.45610113275626674,0.0,0.01699999999999996,0.004699999999999982,0.003400000000000014,-1.6269,-0.10000000000000053,-0.10000000000000053,0.20000000000000018,0.20000000000000018,-1.858972,-3.467549,-5.386714,-4.648579,-0.8886059999999993,0.04085400000000128,-1.4075929999999985,3.3027239999999995
2009-12-01,0.2259887967437283,0.0,0.22727282510023972,-0.2293578987099401,0.0037000000000000366,0.00820000000000004,0.0025000000000000022,-1.1321,0.0,0.10000000000000053,0.10000000000000053,0.09999999999999964,-0.916143,-2.669014,-4.823897,-5.413668,-2.7871940000000004,0.49048799999999915,-0.927365,0.6554910000000014
