date,USA_CPI_lag1,USA_CPI_lag3,USA_CPI_lag6,USA_CPI_lag12,USA_POLICY_RATE_lag1,USA_POLICY_RATE_lag3,USA_POLICY_RATE_lag6,USA_POLICY_RATE_lag12,USA_UNEMPLOYMENT_lag1,USA_UNEMPLOYMENT_lag3,USA_UNEMPLOYMENT_lag6,USA_UNEMPLOYMENT_lag12,USA_GDP_lag1,USA_GDP_lag3,USA_GDP_lag6,USA_GDP_lag12,USA_M2_lag1,USA_M2_lag3,USA_M2_lag6,USA_M2_lag12
2014-01-01,1.5128383667573297,0.8767991434911471,1.885471805415806,1.684061762098299,0.009999999999999995,0.009999999999999995,0.0,-0.01999999999999999,-0.20000000000000018,0.0,-0.20000000000000018,0.09999999999999964,3.762708,4.699027,3.886733,3.605645,5.494034,6.741868,6.63358,7.691441
2014-02-01,1.557758795574915,1.2328701961954458,1.538809488600279,2.0181404902574807,-0.01999999999999999,-0.009999999999999995,-0.009999999999999995,0.009999999999999981,-0.10000000000000053,-0.2999999999999998,-0.09999999999999964,-0.2999999999999998,3.300954,4.228713,4.158611,3.475746,5.925905,6.115674,6.461915,7.316153
2014-03-01,1.1204746347724948,1.5128383667573297,1.0947341081747997,1.5187472411246183,0.0,0.009999999999999995,0.0,-0.009999999999999981,0.10000000000000053,-0.20000000000000018,0.0,-0.20000000000000018,3.775945,3.762708,4.429374,3.346589,6.357635,5.494034,6.218402,7.407219
2014-04-01,1.6126949139408042,1.557758795574915,0.8767991434911471,1.138808047576867,0.009999999999999995,-0.01999999999999999,0.009999999999999995,0.009999999999999981,0.0,-0.10000000000000053,0.0,0.09999999999999964,4.24941,3.300954,4.699027,3.218167,6.130123,5.925905,6.741868,7.101547
2014-05-01,2.015125303606169,1.1204746347724948,1.2328701961954458,1.3903888279197085,0.009999999999999995,0.0,-0.009999999999999995,-0.039999999999999994,-0.5,0.10000000000000053,-0.2999999999999998,-0.09999999999999964,4.721357,3.775945,4.228713,3.44205,6.280098,6.357635,6.115674,6.980927
2014-06-01,2.166947687079812,1.6126949139408042,1.5128383667573297,1.7157935271568725,0.0,0.009999999999999995,0.009999999999999995,-0.020000000000000004,0.09999999999999964,0.0,-0.20000000000000018,0.0,4.82042,4.24941,3.762708,3.664904,6.54418,6.130123,5.494034,6.802307
2014-07-01,2.0589816945944195,2.015125303606169,1.557758795574915,1.885471805415806,0.010000000000000009,0.009999999999999995,-0.01999999999999999,0.0,-0.20000000000000018,-0.5,-0.10000000000000053,-0.20000000000000018,4.918602,4.721357,3.300954,3.886733,6.491456,6.280098,5.925905,6.63358
2014-08-01,1.9742378703305974,2.166947687079812,1.1204746347724948,1.538809488600279,-0.010000000000000009,0.0,0.0,-0.009999999999999995,0.10000000000000053,0.09999999999999964,0.10000000000000053,-0.09999999999999964,5.015914,4.82042,3.775945,4.158611,6.610939,6.54418,6.357635,6.461915
2014-09-01,1.7150983482969062,2.0589816945944195,1.6126949139408042,1.0947341081747997,0.0,0.010000000000000009,0.009999999999999995,0.0,-0.10000000000000053,-0.20000000000000018,0.0,0.0,4.737484,4.918602,4.24941,4.429374,6.25949,6.491456,6.130123,6.218402
2014-10-01,1.6840509711232077,1.9742378703305974,2.015125303606169,0.8767991434911471,0.0,-0.010000000000000009,0.009999999999999995,0.009999999999999995,-0.1999999999999993,0.10000000000000053,-0.5,0.0,4.461638,5.015914,4.721357,4.699027,6.04953,6.610939,6.280098,6.741868
2014-11-01,1.6095417021513292,1.7150983482969062,2.166947687079812,1.2328701961954458,0.0,0.0,0.0,-0.009999999999999995,-0.20000000000000018,-0.10000000000000053,0.09999999999999964,-0.2999999999999998,4.188339,4.737484,4.82042,4.228713,5.523243,6.25949,6.54418,6.115674
2014-12-01,1.231524989320798,1.6840509711232077,2.0589816945944195,1.5128383667573297,0.0,0.0,0.010000000000000009,0.009999999999999995,0.09999999999999964,-0.1999999999999993,-0.20000000000000018,-0.20000000000000018,4.470399,4.461638,4.918602,3.762708,5.807778,6.04953,6.491456,5.494034
2015-01-01,0.6531213919623191,1.6095417021513292,1.9742378703305974,1.557758795574915,0.03,0.0,-0.010000000000000009,-0.01999999999999999,-0.20000000000000018,-0.20000000000000018,0.10000000000000053,-0.10000000000000053,4.752396,4.188339,5.015914,3.300954,5.944793,5.523243,6.610939,5.925905
2015-02-01,-0.22993097820542818,1.231524989320798,1.7150983482969062,1.1204746347724948,-0.009999999999999995,0.0,0.0,0.0,0.10000000000000053,0.09999999999999964,-0.10000000000000053,0.10000000000000053,5.034331,4.470399,4.737484,3.775945,6.058864,5.807778,6.25949,6.357635
2015-03-01,-0.08703146293520536,0.6531213919623191,1.6840509711232077,1.6126949139408042,0.0,0.03,0.0,0.009999999999999995,-0.20000000000000018,-0.20000000000000018,-0.1999999999999993,0.0,4.801901,4.752396,4.461638,4.24941,6.483995,5.944793,6.04953,6.130123
2015-04-01,-0.022031284423873476,-0.22993097820542818,1.6095417021513292,2.015125303606169,0.0,-0.009999999999999995,0.0,0.009999999999999995,-0.09999999999999964,0.10000000000000053,-0.20000000000000018,-0.5,4.572326,5.034331,4.188339,4.721357,6.124139,6.058864,5.523243,6.280098
2015-05-01,-0.10403098939391064,-0.08703146293520536,1.231524989320798,2.166947687079812,0.009999999999999995,0.0,0.0,0.0,0.0,-0.20000000000000018,0.09999999999999964,0.09999999999999964,4.345553,4.801901,4.470399,4.82042,6.00211,6.483995,5.807778,6.54418
2015-06-01,0.03503321824429584,-0.022031284423873476,0.6531213919623191,2.0589816945944195,0.0,0.0,0.03,0.010000000000000009,0.1999999999999993,-0.09999999999999964,-0.20000000000000018,-0.20000000000000018,4.011923,4.572326,4.752396,4.918602,5.640583,6.124139,5.944793,6.491456
2015-07-01,0.1795718097550525,-0.10403098939391064,-0.22993097820542818,1.9742378703305974,0.010000000000000009,0.009999999999999995,-0.009999999999999995,-0.010000000000000009,-0.2999999999999998,0.0,0.10000000000000053,0.10000000000000053,3.681882,4.345553,5.034331,5.015914,5.484247,6.00211,6.058864,6.610939
2015-08-01,0.22568611104094582,0.03503321824429584,-0.08703146293520536,1.7150983482969062,0.0,0.0,0.0,0.0,-0.09999999999999964,0.1999999999999993,-0.20000000000000018,-0.10000000000000053,3.355372,4.011923,4.801901,4.737484,5.361041,5.640583,6.483995,6.25949
2015-09-01,0.2413037985344868,0.1795718097550525,-0.022031284423873476,1.6840509711232077,0.010000000000000009,0.010000000000000009,0.0,0.0,-0.10000000000000053,-0.2999999999999998,-0.09999999999999964,-0.1999999999999993,3.20971,3.681882,4.572326,4.461638,5.530046,5.484247,6.124139,6.04953
2015-10-01,0.008842961634170088,0.22568611104094582,-0.10403098939391064,1.6095417021513292,0.0,0.0,0.009999999999999995,0.0,-0.09999999999999964,-0.09999999999999964,0.0,-0.20000000000000018,3.064634,3.355372,4.345553,4.188339,5.684472,5.361041,6.00211,5.523243
2015-11-01,0.12761656067050708,0.2413037985344868,0.03503321824429584,1.231524989320798,-0.020000000000000018,0.010000000000000009,0.0,0.0,0.0,-0.10000000000000053,0.1999999999999993,0.09999999999999964,2.920141,3.20971,4.011923,4.470399,5.452381,5.530046,5.640583,5.807778
2015-12-01,0.4363182169185187,0.008842961634170088,0.1795718097550525,0.6531213919623191,0.0,0.0,0.010000000000000009,0.03,0.09999999999999964,-0.09999999999999964,-0.2999999999999998,-0.20000000000000018,2.799378,3.064634,3.681882,4.752396,5.868904,5.684472,5.484247,5.944793
2016-01-01,0.6387247515364791,0.12761656067050708,0.22568611104094582,-0.22993097820542818,0.12,-0.020000000000000018,0.0,-0.009999999999999995,-0.09999999999999964,0.0,-0.09999999999999964,0.10000000000000053,2.679291,2.920141,3.355372,5.034331,5.720455,5.452381,5.361041,6.058864
2016-02-01,1.2375025026943876,0.4363182169185187,0.2413037985344868,-0.08703146293520536,0.10000000000000003,0.0,0.010000000000000009,0.0,-0.20000000000000018,0.09999999999999964,-0.10000000000000053,-0.20000000000000018,2.559876,2.799378,3.20971,4.801901,6.042253,5.868904,5.530046,6.483995
2016-03-01,0.8472775790126619,0.6387247515364791,0.008842961634170088,-0.022031284423873476,0.03999999999999998,0.12,0.0,0.0,0.10000000000000053,-0.09999999999999964,-0.09999999999999964,-0.09999999999999964,2.493668,2.679291,3.064634,4.572326,5.712584,5.720455,5.684472,6.124139
2016-04-01,0.8916160965521946,1.2375025026943876,0.12761656067050708,-0.10403098939391064,-0.020000000000000018,0.10000000000000003,-0.020000000000000018,0.009999999999999995,0.09999999999999964,-0.20000000000000018,0.0,0.0,2.427984,2.559876,2.920141,4.345553,6.218699,6.042253,5.452381,6.00211
