country,form,alpha,origin_date,target_date,horizon,n_train_origin,actual,forecast,naive_forecast,error,abs_error,sq_error,naive_error,naive_abs_error,naive_sq_error
GERMANY,primary,31.622776601683796,2021-01-01,2021-04-01,3,225,0.31629999999999825,0.4669398433280885,1.265199999999993,-0.15063984332809027,0.15063984332809027,0.022692362397911583,-0.9488999999999947,0.9488999999999947,0.90041120999999
GERMANY,primary,31.622776601683796,2021-02-01,2021-05-01,3,226,0.2108000000000061,0.6337030819789062,0.6325000000000074,-0.42290308197890014,0.42290308197890014,0.17884701674725234,-0.4217000000000013,0.4217000000000013,0.1778308900000011
GERMANY,primary,31.622776601683796,2021-03-01,2021-06-01,3,227,0.31629999999999825,0.7360376713116575,0.5271999999999935,-0.4197376713116593,0.4197376713116593,0.17617971271813454,-0.2108999999999952,0.2108999999999952,0.044478809999997974
GERMANY,primary,31.622776601683796,2021-04-01,2021-07-01,3,228,0.5272000000000077,0.4403211392656847,0.31629999999999825,0.08687886073432294,0.08687886073432294,0.00754793644249388,0.2109000000000094,0.2109000000000094,0.04447881000000397
GERMANY,primary,31.622776601683796,2021-05-01,2021-08-01,3,229,0.10539999999998884,0.1999091294912123,0.2108000000000061,-0.09450912949122348,0.09450912949122348,0.008931975557188847,-0.10540000000001726,0.10540000000001726,0.011109160000003638
GERMANY,primary,31.622776601683796,2021-06-01,2021-09-01,3,230,0.31630000000001246,0.24845627481904292,0.31629999999999825,0.06784372518096954,0.06784372518096954,0.00460277104643092,1.4210854715202004e-14,1.4210854715202004e-14,2.0194839173657902e-28
GERMANY,primary,31.622776601683796,2021-07-01,2021-10-01,3,231,0.5270999999999901,0.42363478125555387,0.5272000000000077,0.10346521874443626,0.10346521874443626,0.010705051489834045,-0.00010000000001753051,0.00010000000001753051,1.0000000003506103e-08
GERMANY,primary,31.622776601683796,2021-08-01,2021-11-01,3,232,0.2109000000000094,0.28289816274400315,0.10539999999998884,-0.07199816274399373,0.07199816274399373,0.005183735438510607,0.10550000000002058,0.10550000000002058,0.011130250000004342
GERMANY,primary,31.622776601683796,2021-09-01,2021-12-01,3,233,0.21079999999999188,0.13848901871597663,0.31630000000001246,0.07231098128401525,0.07231098128401525,0.005228878014257204,-0.10550000000002058,0.10550000000002058,0.011130250000004342
GERMANY,primary,31.622776601683796,2021-10-01,2022-01-01,3,234,0.5272000000000077,0.019421963112439627,0.5270999999999901,0.5077780368875681,0.5077780368875681,0.2578385347453924,0.00010000000001753051,0.00010000000001753051,1.0000000003506103e-08
GERMANY,primary,31.622776601683796,2021-11-01,2022-02-01,3,235,0.8433999999999884,0.17454202123361115,0.2109000000000094,0.6688579787663772,0.6688579787663772,0.4473709957594435,0.632499999999979,0.632499999999979,0.4000562499999734
GERMANY,primary,31.622776601683796,2021-12-01,2022-03-01,3,236,2.214000000000013,0.2603170678472539,0.21079999999999188,1.953682932152759,1.953682932152759,3.8168769993850016,2.003200000000021,2.003200000000021,4.012810240000084
GERMANY,primary,31.622776601683796,2022-01-01,2022-04-01,3,237,0.7379999999999995,0.475316406078849,0.5272000000000077,0.26268359392115054,0.26268359392115054,0.06900267051533192,0.21079999999999188,0.21079999999999188,0.04443663999999658
GERMANY,primary,31.622776601683796,2022-02-01,2022-05-01,3,238,1.0542999999999978,0.6313381083383643,0.8433999999999884,0.42296189166163345,0.42296189166163345,0.17889676179798736,0.2109000000000094,0.2109000000000094,0.04447881000000397
GERMANY,primary,31.622776601683796,2022-03-01,2022-06-01,3,239,0.0,0.6383616064113131,2.214000000000013,-0.6383616064113131,0.6383616064113131,0.40750554054003224,-2.214000000000013,2.214000000000013,4.901796000000057
GERMANY,primary,31.622776601683796,2022-04-01,2022-07-01,3,240,0.5270999999999901,0.5237678659497914,0.7379999999999995,0.0033321340501987207,0.0033321340501987207,1.1103117328493731e-05,-0.2109000000000094,0.2109000000000094,0.04447881000000397
