country,form,feature_name,category,selected_alpha,coef_full_train,coef_fold_mean,coef_fold_std,coef_fold_min,coef_fold_max,abs_coef_full,sign_stable,n_folds_same_sign_as_full,rank_abs_full
JAPAN,primary,JAPAN_M2_roll12_mean,rolling,3162.2776601683795,0.0017666465669898552,0.00095079134589651,0.0006377381151498351,0.00019837673478206294,0.001785638874217005,0.0017666465669898552,True,5,13
JAPAN,primary,JAPAN_M2_roll12_std,rolling,3162.2776601683795,-0.00026238207039741833,-0.00016820836608578111,0.0002515910366760216,-0.0005167846412807464,0.0001409533391753312,0.00026238207039741833,False,4,35
JAPAN,primary,JAPAN_D_GFC_2008,split,3162.2776601683795,8.629977884891208e-05,-0.0005754889470046068,0.000683981231041164,-0.0015519673154391765,0.0,8.629977884891208e-05,False,0,43
JAPAN,primary,JAPAN_D_COVID_2020,split,3162.2776601683795,0.0,0.0,0.0,0.0,0.0,0.0,True,5,47
JAPAN,primary,JAPAN_D_ENERGY_2022,split,3162.2776601683795,0.0,0.0,0.0,0.0,0.0,0.0,True,5,48
JAPAN,primary,JAPAN_P_GFC,period,3162.2776601683795,-0.0026035365220633015,-0.0012594593015278516,0.0011678979734624317,-0.0024082586101175463,0.0,0.0026035365220633015,False,3,9
JAPAN,primary,JAPAN_P_COVID,period,3162.2776601683795,0.0,0.0,0.0,0.0,0.0,0.0,True,5,49
UK,primary,UK_POLICY_RATE,base,100.0,0.01764958188652422,0.013282993266635018,0.004737528202821333,0.00525523062286444,0.016431495489464414,0.01764958188652422,True,5,5
UK,primary,UK_UNEMPLOYMENT,base,100.0,-0.0069744400117898635,-0.00849394048110938,0.003242120004323515,-0.0140493598111855,-0.005962988092256537,0.0069744400117898635,True,5,19
UK,primary,UK_GDP,base,100.0,0.0025508300173495532,0.0007521016056104325,0.00435464934476774,-0.005975893529752536,0.005197820011658428,0.0025508300173495532,False,3,36
UK,primary,UK_M2,base,100.0,-0.010183450640531368,-0.013024580078872047,0.008153037196654616,-0.02098385544415729,-0.001252588265222,0.010183450640531368,True,5,12
UK,primary,UK_CPI_lag1,lag,100.0,-0.041460656787713636,-0.025257326717965843,0.012756383975689267,-0.036788247892914724,-0.0052994724541130045,0.041460656787713636,True,5,3
UK,primary,UK_CPI_lag3,lag,100.0,-0.005916825920042484,-0.014216318473016947,0.005634774971448372,-0.02039503222243867,-0.007764029216747856,0.005916825920042484,True,5,21
UK,primary,UK_CPI_lag6,lag,100.0,0.03365028348141544,0.033914100839268116,0.005415974810856393,0.025212564009722726,0.03847327093991503,0.03365028348141544,True,5,4
UK,primary,UK_CPI_lag12,lag,100.0,0.09906678267404866,0.07391216930497306,0.018935219746443105,0.04369388230516767,0.09170928838042289,0.09906678267404866,True,5,1
UK,primary,UK_POLICY_RATE_lag1,lag,100.0,0.006664243997155962,0.0011388223044081058,0.009635502349384931,-0.010763547475479342,0.008654322554097434,0.006664243997155962,False,3,20
UK,primary,UK_POLICY_RATE_lag3,lag,100.0,-0.008779628680387739,-0.004942547997460143,0.005808743588370959,-0.009428119006290144,0.0028216630497422735,0.008779628680387739,False,4,14
UK,primary,UK_POLICY_RATE_lag6,lag,100.0,-0.0016991389032901545,0.0007910977346443163,0.0029207472533768243,-0.0014706787105327726,0.005068852011492882,0.0016991389032901545,False,3,39
