country,pi0,candidate_date,wald_f
UK,0.1,2003-11-01,1.9728989105205048
UK,0.1,2003-12-01,2.256141899268237
UK,0.1,2004-01-01,2.2307610593916674
UK,0.1,2004-02-01,3.090581944646812
UK,0.1,2004-03-01,3.187183268435133
UK,0.1,2004-04-01,3.213949708193243
UK,0.1,2004-05-01,2.7910667417668162
UK,0.1,2004-06-01,2.5844680727136065
UK,0.1,2004-07-01,2.875128069731726
UK,0.1,2004-08-01,2.7712183080756967
UK,0.1,2004-09-01,2.7529455499262063
UK,0.1,2004-10-01,2.960982045496192
UK,0.1,2004-11-01,2.94673587278283
UK,0.1,2004-12-01,2.7776690446742
UK,0.1,2005-01-01,2.5272363910284974
UK,0.1,2005-02-01,3.1372458784447175
UK,0.1,2005-03-01,3.1331004629981694
UK,0.1,2005-04-01,2.9946180289720363
UK,0.1,2005-05-01,2.4415311778653734
UK,0.1,2005-06-01,2.129661100690382
UK,0.1,2005-07-01,2.1117850024400773
UK,0.1,2005-08-01,2.1654450684417172
UK,0.1,2005-09-01,2.088807742973439
UK,0.1,2005-10-01,1.8455919768385936
UK,0.1,2005-11-01,1.8600387526536442
UK,0.1,2005-12-01,2.0386947143561605
UK,0.1,2006-01-01,1.8968327309057222
UK,0.1,2006-02-01,2.3534313043841015
UK,0.1,2006-03-01,2.360753556407615
UK,0.1,2006-04-01,2.355846393071422
UK,0.1,2006-05-01,1.8197128261080764
UK,0.1,2006-06-01,1.3388314208454375
UK,0.1,2006-07-01,1.3128548538484002
UK,0.1,2006-08-01,1.4177155577946015
UK,0.1,2006-09-01,1.3265001528411178
UK,0.1,2006-10-01,1.3400765695873509
UK,0.1,2006-11-01,1.3452077500051882
UK,0.1,2006-12-01,1.3303476538704415
UK,0.1,2007-01-01,1.2436249605585956
UK,0.1,2007-02-01,1.575550302646635
UK,0.1,2007-03-01,1.5224530336929494
UK,0.1,2007-04-01,1.4216225424283453
UK,0.1,2007-05-01,1.391230394255102
UK,0.1,2007-06-01,1.3596502856221415
UK,0.1,2007-07-01,1.353310000885071
UK,0.1,2007-08-01,1.7979043874725917
UK,0.1,2007-09-01,1.7555105635199488
UK,0.1,2007-10-01,1.7833898274108528
UK,0.1,2007-11-01,1.7153921848296083
UK,0.1,2007-12-01,1.6404282171859699
UK,0.1,2008-01-01,1.5498018433798182
UK,0.1,2008-02-01,1.8718495358638425
UK,0.1,2008-03-01,1.6904695774961052
UK,0.1,2008-04-01,1.5884073948963746
UK,0.1,2008-05-01,1.7337387295939997
UK,0.1,2008-06-01,1.6824564677390377
UK,0.1,2008-07-01,1.7990100401857838
UK,0.1,2008-08-01,1.7100404941897867
UK,0.1,2008-09-01,2.1041548680695445
UK,0.1,2008-10-01,2.8644961735232366
UK,0.1,2008-11-01,1.832383671782008
UK,0.1,2008-12-01,2.3091401938302405
UK,0.1,2009-01-01,1.8413286947026737
UK,0.1,2009-02-01,1.4975815697240775
UK,0.1,2009-03-01,1.869076042548646
UK,0.1,2009-04-01,1.955135529050894
UK,0.1,2009-05-01,1.9987057699615114
UK,0.1,2009-06-01,2.114137928361098
UK,0.1,2009-07-01,2.132073627198866
UK,0.1,2009-08-01,2.131430135619554
UK,0.1,2009-09-01,2.108098761788143
UK,0.1,2009-10-01,2.1521355002928164
UK,0.1,2009-11-01,2.1428760399643956
UK,0.1,2009-12-01,2.133348574858477
UK,0.1,2010-01-01,2.2551369656167854
UK,0.1,2010-02-01,2.637892635738226
UK,0.1,2010-03-01,2.381368285674909
UK,0.1,2010-04-01,2.26602650565045
UK,0.1,2010-05-01,2.2576656194449845
UK,0.1,2010-06-01,2.2491634922199837
UK,0.1,2010-07-01,2.2648647176501386
UK,0.1,2010-08-01,2.3215690033000684
UK,0.1,2010-09-01,2.3441155557092026
UK,0.1,2010-10-01,2.3409911463794417
UK,0.1,2010-11-01,2.3401299300502805
UK,0.1,2010-12-01,2.356609234898542
UK,0.1,2011-01-01,2.4071303540009352
UK,0.1,2011-02-01,2.0268985839120917
UK,0.1,2011-03-01,2.6192371145853253
UK,0.1,2011-04-01,2.6219986009611596
UK,0.1,2011-05-01,2.3363773501930276
UK,0.1,2011-06-01,2.3280875753126886
UK,0.1,2011-07-01,2.3332548034004876
UK,0.1,2011-08-01,2.3424326043097015
UK,0.1,2011-09-01,2.3106316970558347
UK,0.1,2011-10-01,2.2499738515127534
UK,0.1,2011-11-01,2.1819901902943255
UK,0.1,2011-12-01,2.1958988620651105
UK,0.1,2012-01-01,2.2388724703292016
UK,0.1,2012-02-01,2.2571205254398596
UK,0.1,2012-03-01,2.3775724900284465
UK,0.1,2012-04-01,2.3720764099065383
UK,0.1,2012-05-01,2.4415102943968074
UK,0.1,2012-06-01,2.4235452345719275
UK,0.1,2012-07-01,2.4223464552581055
UK,0.1,2012-08-01,2.418991198146771
UK,0.1,2012-09-01,2.4559929395818663
UK,0.1,2012-10-01,2.468202521782361
UK,0.1,2012-11-01,2.4040654983921987
UK,0.1,2012-12-01,2.4017824743893073
UK,0.1,2013-01-01,2.3405650186426294
UK,0.1,2013-02-01,2.7651323355964723
UK,0.1,2013-03-01,2.8498938726878644
UK,0.1,2013-04-01,2.8330779210840875
UK,0.1,2013-05-01,2.8436789164124985
UK,0.1,2013-06-01,2.844586715239367
