country,form,alpha,log10_alpha,fold,train_start,train_end,val_start,val_end,n_train,n_val,train_mse,val_mse
JAPAN,primary,31.622776601683793,1.5,2,2002-02-01,2011-03-01,2011-04-01,2014-02-01,110,35,0.029854387728070544,0.030384684608889493
JAPAN,primary,100.0,2.0,2,2002-02-01,2011-03-01,2011-04-01,2014-02-01,110,35,0.040306260336825245,0.031485682527861575
JAPAN,primary,316.22776601683796,2.5,2,2002-02-01,2011-03-01,2011-04-01,2014-02-01,110,35,0.054764699025847,0.03637974347562766
JAPAN,primary,1000.0,3.0,2,2002-02-01,2011-03-01,2011-04-01,2014-02-01,110,35,0.06781794285206173,0.04229886811667648
JAPAN,primary,0.001,-3.0,3,2002-02-01,2014-02-01,2014-03-01,2017-01-01,145,35,0.021896708976200663,0.09975406755382968
JAPAN,primary,0.0031622776601683794,-2.5,3,2002-02-01,2014-02-01,2014-03-01,2017-01-01,145,35,0.021897063335517834,0.09968845272128682
JAPAN,primary,0.01,-2.0,3,2002-02-01,2014-02-01,2014-03-01,2017-01-01,145,35,0.021899631339642577,0.0995031839273704
JAPAN,primary,0.03162277660168379,-1.5,3,2002-02-01,2014-02-01,2014-03-01,2017-01-01,145,35,0.021911585362992477,0.09904603144578994
JAPAN,primary,0.1,-1.0,3,2002-02-01,2014-02-01,2014-03-01,2017-01-01,145,35,0.021945070712856257,0.09807578692891807
JAPAN,primary,0.31622776601683794,-0.5,3,2002-02-01,2014-02-01,2014-03-01,2017-01-01,145,35,0.022034355386872134,0.09639404244439266
JAPAN,primary,1.0,0.0,3,2002-02-01,2014-02-01,2014-03-01,2017-01-01,145,35,0.02224622297133898,0.09443141712252182
JAPAN,primary,3.1622776601683795,0.5,3,2002-02-01,2014-02-01,2014-03-01,2017-01-01,145,35,0.02265598980284741,0.09282236890256268
JAPAN,primary,10.0,1.0,3,2002-02-01,2014-02-01,2014-03-01,2017-01-01,145,35,0.023856266859473077,0.09180308634416477
JAPAN,primary,31.622776601683793,1.5,3,2002-02-01,2014-02-01,2014-03-01,2017-01-01,145,35,0.027574650497708596,0.09465966392709461
JAPAN,primary,100.0,2.0,3,2002-02-01,2014-02-01,2014-03-01,2017-01-01,145,35,0.035544018539647226,0.10838898632894159
JAPAN,primary,316.22776601683796,2.5,3,2002-02-01,2014-02-01,2014-03-01,2017-01-01,145,35,0.047164105713130414,0.13167902426940215
JAPAN,primary,1000.0,3.0,3,2002-02-01,2014-02-01,2014-03-01,2017-01-01,145,35,0.0590098930172585,0.15221168964471418
JAPAN,primary,0.001,-3.0,4,2002-02-01,2017-01-01,2017-02-01,2019-12-01,180,35,0.03245206690313003,0.0360581725163097
JAPAN,primary,0.0031622776601683794,-2.5,4,2002-02-01,2017-01-01,2017-02-01,2019-12-01,180,35,0.03245208583204169,0.03605000871180584
JAPAN,primary,0.01,-2.0,4,2002-02-01,2017-01-01,2017-02-01,2019-12-01,180,35,0.03245224387476177,0.036023755027794785
JAPAN,primary,0.03162277660168379,-1.5,4,2002-02-01,2017-01-01,2017-02-01,2019-12-01,180,35,0.03245329306703497,0.0359390817201971
JAPAN,primary,0.1,-1.0,4,2002-02-01,2017-01-01,2017-02-01,2019-12-01,180,35,0.032459009212775794,0.03568324908285159
JAPAN,primary,0.31622776601683794,-0.5,4,2002-02-01,2017-01-01,2017-02-01,2019-12-01,180,35,0.032487746418495125,0.03504977387892031
JAPAN,primary,1.0,0.0,4,2002-02-01,2017-01-01,2017-02-01,2019-12-01,180,35,0.032590180851785826,0.03383887771474359
JAPAN,primary,3.1622776601683795,0.5,4,2002-02-01,2017-01-01,2017-02-01,2019-12-01,180,35,0.03288886211192141,0.03190853209287767
JAPAN,primary,10.0,1.0,4,2002-02-01,2017-01-01,2017-02-01,2019-12-01,180,35,0.03403126707533973,0.030056369137848798
JAPAN,primary,31.622776601683793,1.5,4,2002-02-01,2017-01-01,2017-02-01,2019-12-01,180,35,0.03780885912049076,0.03068204663221066
JAPAN,primary,100.0,2.0,4,2002-02-01,2017-01-01,2017-02-01,2019-12-01,180,35,0.046101260717282835,0.03336611509646478
JAPAN,primary,316.22776601683796,2.5,4,2002-02-01,2017-01-01,2017-02-01,2019-12-01,180,35,0.05900190743210495,0.03595874006063648
JAPAN,primary,1000.0,3.0,4,2002-02-01,2017-01-01,2017-02-01,2019-12-01,180,35,0.07345839976091874,0.03875690721667132
UK,primary,0.001,-3.0,0,2002-02-01,2005-05-01,2005-06-01,2008-04-01,40,35,4.471206511647195e-07,0.4990766964677104
UK,primary,0.0031622776601683794,-2.5,0,2002-02-01,2005-05-01,2005-06-01,2008-04-01,40,35,3.988366388966569e-06,0.4438666508079473
UK,primary,0.01,-2.0,0,2002-02-01,2005-05-01,2005-06-01,2008-04-01,40,35,2.9126025313775577e-05,0.31938063912271875
UK,primary,0.03162277660168379,-1.5,0,2002-02-01,2005-05-01,2005-06-01,2008-04-01,40,35,0.00014166798655807994,0.15767623176400222
UK,primary,0.1,-1.0,0,2002-02-01,2005-05-01,2005-06-01,2008-04-01,40,35,0.00040449392311035505,0.1136242333089656
UK,primary,0.31622776601683794,-0.5,0,2002-02-01,2005-05-01,2005-06-01,2008-04-01,40,35,0.0008031499804909678,0.18474990883688316
UK,primary,1.0,0.0,0,2002-02-01,2005-05-01,2005-06-01,2008-04-01,40,35,0.001531944073410626,0.1986609792475053
UK,primary,3.1622776601683795,0.5,0,2002-02-01,2005-05-01,2005-06-01,2008-04-01,40,35,0.0030976594983426337,0.1298180194102571
UK,primary,10.0,1.0,0,2002-02-01,2005-05-01,2005-06-01,2008-04-01,40,35,0.005829845116004075,0.07285260015765978
UK,primary,31.622776601683793,1.5,0,2002-02-01,2005-05-01,2005-06-01,2008-04-01,40,35,0.011302530486560346,0.05230129178171703
UK,primary,100.0,2.0,0,2002-02-01,2005-05-01,2005-06-01,2008-04-01,40,35,0.023810412418886352,0.05795450145096186
UK,primary,316.22776601683796,2.5,0,2002-02-01,2005-05-01,2005-06-01,2008-04-01,40,35,0.041187963857220254,0.07611304549686185
UK,primary,1000.0,3.0,0,2002-02-01,2005-05-01,2005-06-01,2008-04-01,40,35,0.05380039363678346,0.08966920555607466
UK,primary,0.001,-3.0,1,2002-02-01,2008-04-01,2008-05-01,2011-03-01,75,35,0.008156805376438156,1.0486708356674743
UK,primary,0.0031622776601683794,-2.5,1,2002-02-01,2008-04-01,2008-05-01,2011-03-01,75,35,0.008159754135675495,1.0359089082281476
UK,primary,0.01,-2.0,1,2002-02-01,2008-04-01,2008-05-01,2011-03-01,75,35,0.008174342805250328,0.9732622147155108
UK,primary,0.03162277660168379,-1.5,1,2002-02-01,2008-04-01,2008-05-01,2011-03-01,75,35,0.008219334023864636,0.7572257645907537
UK,primary,0.1,-1.0,1,2002-02-01,2008-04-01,2008-05-01,2011-03-01,75,35,0.008348886178570871,0.38709821857110965
