country,origin_date,horizon,target_date,variable,forecast,actual,error
GERMANY,2021-09-01,6,2022-03-01,POLICY_RATE,-0.23079006468325738,-0.0013699999999999823,-0.2294200646832574
GERMANY,2021-09-01,6,2022-03-01,M2,0.7948554467027513,-0.045395000000000074,0.8402504467027514
GERMANY,2021-09-01,12,2022-09-01,GDP,-3.905597358749138,7.864924,-11.77052135874914
GERMANY,2021-09-01,12,2022-09-01,UNEMPLOYMENT,0.34326399921050743,0.10000000000000009,0.24326399921050734
GERMANY,2021-09-01,12,2022-09-01,CPI,0.5245239250491714,2.10860000000001,-1.5840760749508385
GERMANY,2021-09-01,12,2022-09-01,POLICY_RATE,-0.2221512729249876,0.349236,-0.5713872729249876
GERMANY,2021-09-01,12,2022-09-01,M2,-0.456665184807427,0.1499630000000005,-0.6066281848074275
GERMANY,2021-10-01,1,2021-11-01,GDP,8.266353959617794,7.746325,0.520028959617794
GERMANY,2021-10-01,1,2021-11-01,UNEMPLOYMENT,0.029556249823752045,0.0,0.029556249823752045
GERMANY,2021-10-01,1,2021-11-01,CPI,0.43948943908325666,0.2109000000000094,0.22858943908324725
GERMANY,2021-10-01,1,2021-11-01,POLICY_RATE,-0.08448097847286126,-0.0028240000000000487,-0.08165697847286121
GERMANY,2021-10-01,1,2021-11-01,M2,0.23925373332294064,-0.16803399999999957,0.4072877333229402
GERMANY,2021-10-01,3,2022-01-01,GDP,8.818838860339392,9.332999,-0.514160139660607
GERMANY,2021-10-01,3,2022-01-01,UNEMPLOYMENT,-0.11210688585509543,-0.10000000000000009,-0.01210688585509534
GERMANY,2021-10-01,3,2022-01-01,CPI,-0.14816957783490337,0.5272000000000077,-0.675369577834911
GERMANY,2021-10-01,3,2022-01-01,POLICY_RATE,-0.09908769979518098,-0.003094000000000041,-0.09599369979518094
GERMANY,2021-10-01,3,2022-01-01,M2,-0.994422524232114,-0.42067999999999994,-0.573742524232114
GERMANY,2021-10-01,6,2022-04-01,GDP,0.787146778862208,8.806494,-8.019347221137792
GERMANY,2021-10-01,6,2022-04-01,UNEMPLOYMENT,0.17569682586253862,-0.10000000000000009,0.27569682586253874
GERMANY,2021-10-01,6,2022-04-01,CPI,1.4102719652214608,0.7379999999999995,0.6722719652214613
GERMANY,2021-10-01,6,2022-04-01,POLICY_RATE,-0.14046312809822456,-0.006004000000000009,-0.13445912809822455
GERMANY,2021-10-01,6,2022-04-01,M2,1.2744671410467454,0.1756890000000002,1.0987781410467452
GERMANY,2021-10-01,12,2022-10-01,GDP,-0.3988292821737671,7.961898,-8.360727282173766
GERMANY,2021-10-01,12,2022-10-01,UNEMPLOYMENT,0.04860147281067062,-0.10000000000000009,0.1486014728106707
GERMANY,2021-10-01,12,2022-10-01,CPI,-0.10759389686010606,0.8433999999999884,-0.9509938968600944
GERMANY,2021-10-01,12,2022-10-01,POLICY_RATE,-0.21282962292707955,0.40079500000000007,-0.6136246229270796
GERMANY,2021-10-01,12,2022-10-01,M2,-0.18953984113804345,-0.6583459999999999,0.4688061588619564
GERMANY,2021-11-01,1,2021-12-01,GDP,7.98245346589026,8.541263,-0.5588095341097405
GERMANY,2021-11-01,1,2021-12-01,UNEMPLOYMENT,0.024249972375908996,0.0,0.024249972375908996
GERMANY,2021-11-01,1,2021-12-01,CPI,1.0335366295781867,0.21079999999999188,0.8227366295781948
GERMANY,2021-11-01,1,2021-12-01,POLICY_RATE,-0.04191203179576332,-0.003134999999999999,-0.03877703179576332
GERMANY,2021-11-01,1,2021-12-01,M2,-1.2406312888582338,-0.3571370000000007,-0.8834942888582331
GERMANY,2021-11-01,3,2022-02-01,GDP,4.309333785553914,9.154834,-4.845500214446085
GERMANY,2021-11-01,3,2022-02-01,UNEMPLOYMENT,0.11221360658268567,-0.09999999999999964,0.21221360658268532
GERMANY,2021-11-01,3,2022-02-01,CPI,1.2641676820399892,0.8433999999999884,0.4207676820400008
GERMANY,2021-11-01,3,2022-02-01,POLICY_RATE,-0.13332795963698982,0.0031330000000000524,-0.13646095963698987
GERMANY,2021-11-01,3,2022-02-01,M2,-0.3575840968967353,-0.3231409999999997,-0.03444309689673564
GERMANY,2021-11-01,6,2022-05-01,GDP,0.9902552211926585,8.421143,-7.430887778807342
GERMANY,2021-11-01,6,2022-05-01,UNEMPLOYMENT,0.17773144582723147,0.0,0.17773144582723147
GERMANY,2021-11-01,6,2022-05-01,CPI,0.46314294835274605,1.0542999999999978,-0.5911570516472517
GERMANY,2021-11-01,6,2022-05-01,POLICY_RATE,-0.16081638468077822,-0.0010339999999999794,-0.15978238468077824
GERMANY,2021-11-01,6,2022-05-01,M2,0.3492928975456027,-0.10614599999999985,0.4554388975456026
GERMANY,2021-11-01,12,2022-11-01,GDP,-4.716367984806876,7.606231,-12.322598984806877
GERMANY,2021-11-01,12,2022-11-01,UNEMPLOYMENT,0.23503649202244933,0.0,0.23503649202244933
GERMANY,2021-11-01,12,2022-11-01,CPI,0.4621604508816572,0.2109000000000094,0.2512604508816478
GERMANY,2021-11-01,12,2022-11-01,POLICY_RATE,-0.25907441115489277,0.611241,-0.8703154111548927
GERMANY,2021-11-01,12,2022-11-01,M2,-0.16033256570328303,-0.8265770000000003,0.6662444342967173
GERMANY,2021-12-01,1,2022-01-01,GDP,8.538836097034528,9.332999,-0.7941629029654713
GERMANY,2021-12-01,1,2022-01-01,UNEMPLOYMENT,-0.155950306818594,-0.10000000000000009,-0.05595030681859392
GERMANY,2021-12-01,1,2022-01-01,CPI,-0.2786518528670857,0.5272000000000077,-0.8058518528670934
GERMANY,2021-12-01,1,2022-01-01,POLICY_RATE,-0.060869997092374485,-0.003094000000000041,-0.057775997092374444
GERMANY,2021-12-01,1,2022-01-01,M2,-0.20828870506175173,-0.42067999999999994,0.2123912949382482
GERMANY,2021-12-01,3,2022-03-01,GDP,3.669721416594177,8.979352,-5.3096305834058235
GERMANY,2021-12-01,3,2022-03-01,UNEMPLOYMENT,0.004617229044694294,0.0,0.004617229044694294
GERMANY,2021-12-01,3,2022-03-01,CPI,0.9131151512471756,2.214000000000013,-1.3008848487528373
GERMANY,2021-12-01,3,2022-03-01,POLICY_RATE,-0.1337616324321417,-0.0013699999999999823,-0.13239163243214172
GERMANY,2021-12-01,3,2022-03-01,M2,0.9431707928598797,-0.045395000000000074,0.9885657928598798
