p,d,q,P,D,Q,s,n_params,aic,bic,hqic,llf,converged,runtime_sec,error
0,0,0,2,1,1,12,4,-92.64391760301723,-76.38255046278408,-86.05730743516673,51.321958801508615,True,0.7474713000010524,
0,0,0,2,1,2,12,5,-98.7668368940011,-79.28469246103819,-90.8749040241322,55.38341844700055,True,0.8395084000003408,
0,0,1,0,0,0,12,2,79.45974412440977,89.70804533102303,83.59600056547781,-36.72987206220488,True,0.023923200000353972,
0,0,1,0,0,1,12,3,-6.836613379296642,6.60855528354106,-1.4029732055311026,7.418306689648321,True,0.08655189999990398,
0,0,1,0,0,2,12,4,-12.811329371077054,3.7051951692183245,-6.128027433287787,11.405664685538527,True,0.21847580000030575,
0,0,1,0,1,0,12,2,-33.45010953745416,-23.366233040325884,-29.374879407130006,19.72505476872708,True,0.04598950000035984,
0,0,1,0,1,1,12,3,-107.1510303528874,-93.9378107206511,-101.80438880265599,57.5755151764437,True,0.23470039999847359,
0,0,1,0,1,2,12,4,-103.76262608975813,-87.55389101445991,-97.1960776638769,56.881313044879064,True,0.7776097999994818,
0,0,1,1,0,0,12,3,-71.25010279997579,-57.767550687465146,-65.8025290808189,39.625051399987896,True,0.07565369999974791,
0,0,1,1,0,1,12,4,-109.29555310929948,-92.48909228075235,-102.50350289209256,59.64777655464974,True,0.1846734999999171,
0,0,1,1,0,2,12,5,-113.30092400484241,-93.48109455648796,-105.28096167949529,62.65046200242121,True,0.5321041000006517,
0,0,1,1,1,0,12,3,-62.16959881642782,-48.91677490026068,-56.8080354916759,35.08479940821391,True,0.12922310000067228,
0,0,1,1,1,1,12,4,-113.10109334357341,-96.58456880327803,-106.41779140578414,61.550546671786705,True,0.28862929999922926,
0,0,1,1,1,2,12,5,-104.25823042433481,-84.80774833397696,-96.37837231327734,58.129115212167406,True,0.9968179000006785,
0,0,1,2,0,0,12,4,-76.87612539735677,-60.31009550214784,-70.17417124141687,43.43806269867839,True,0.19841989999986254,
0,0,1,2,0,1,12,5,-113.6901044794345,-93.81086860518377,-105.64775949230662,62.84505223971725,True,0.38777789999949164,
0,0,1,2,0,2,12,6,-112.71171313382213,-89.5885787774086,-103.35509042091715,63.355856566911065,True,0.6257050000003801,
0,0,1,2,1,0,12,4,-80.94672656230657,-64.68535942207342,-74.36011639445607,45.47336328115328,True,0.5326531999999133,
0,0,1,2,1,1,12,5,-98.68227869479739,-79.1686381265176,-90.7783464933768,55.341139347398695,True,0.9717574999995122,
0,0,1,2,1,2,12,6,-103.62896022754913,-80.93673112213163,-94.4357924313154,58.814480113774565,True,1.0997251999997388,
0,0,2,0,0,0,12,3,78.326983226091,91.97356743351116,83.83540968650512,-35.1634916130455,True,0.05622149999908288,
0,0,2,0,0,1,12,4,-5.491778359210265,11.291153014149796,1.2914904720796727,7.745889179605133,True,0.11441500000000815,
0,0,2,0,0,2,12,5,-14.828417564076936,4.96148663521128,-6.819746058379426,13.414208782038468,True,0.33523590000004333,
0,0,2,0,1,0,12,3,-34.26914103264532,-20.842795933957273,-28.842525967613373,21.13457051632266,True,0.09149719999913941,
0,0,2,0,1,1,12,4,-106.85928328577148,-90.3676964530313,-100.18539036435689,58.42964164288574,True,0.38513939999938884,
0,0,2,0,1,2,12,5,-105.68571758195534,-86.26706580497566,-97.81801054630415,58.84285879097767,True,0.8336220000001049,
0,0,2,1,0,0,12,4,-73.14502301389011,-56.2918328732518,-66.335555864944,41.572511506945055,True,0.12017350000132865,
0,0,2,1,0,1,12,5,-108.46400144580136,-88.32448379776929,-100.32407884825344,60.23200072290068,True,0.24903699999958917,
0,0,2,1,0,2,12,6,-114.26189415473186,-91.17367258889561,-104.91844406475144,64.13094707736593,True,0.8492958999995608,
0,0,2,1,1,0,12,4,-65.51225938597712,-48.94622949076818,-58.810305230037216,37.75612969298856,True,0.1319853000004514,
0,0,2,1,1,1,12,5,-114.87712222304258,-95.08721802375436,-106.86845071734507,63.43856111152129,True,0.6552413999997952,
0,0,2,1,1,2,12,6,-105.47181801363901,-82.81672427382937,-96.29282647204595,59.735909006819504,True,1.380601900000329,
0,0,2,2,0,0,12,5,-80.09696146882263,-60.2177255945719,-72.05461648169475,46.048480734411314,True,0.2599186000006739,
0,0,2,2,0,1,12,6,-116.56155283540866,-93.36911098211615,-107.1788170170928,65.28077641770433,True,0.6871809999993275,
